fold_id,best_epoch,best_val_nse,best_val_rmse,best_val_mae,trial
0,5,0.36542361974716187,3.4717257022857666,0.7624527812004089,1
1,6,0.5397212505340576,2.6106579303741455,0.925865888595581,1
2,5,0.5504781007766724,2.5102546215057373,0.732968807220459,1
3,4,0.5505423545837402,2.4121341705322266,0.8282588720321655,1
0,2,0.32846373319625854,3.538010358810425,0.8629707098007202,2
1,5,0.52189040184021,2.8758151531219482,0.9097968935966492,2
2,4,0.5821837782859802,2.136725664138794,0.6940189003944397,2
3,6,0.5676121711730957,2.322962760925293,0.8208836317062378,2
0,6,0.35000360012054443,3.522676944732666,0.8475866913795471,3
1,6,0.553310751914978,2.3972392082214355,0.8282873630523682,3
2,6,0.5602610111236572,2.1720738410949707,0.6921473741531372,3
3,6,0.5664080381393433,2.34082293510437,0.7597630023956299,3
0,6,0.391762912273407,3.217501640319824,0.8049824237823486,4
1,6,0.5289698243141174,3.0173323154449463,0.9305307269096375,4
2,3,0.5829776525497437,2.1678996086120605,0.7441697120666504,4
3,5,0.5054895281791687,2.546361207962036,0.7646440267562866,4
0,5,0.3249155879020691,4.09510612487793,0.822741687297821,5
1,6,0.524734377861023,2.632599115371704,0.8180029392242432,5
2,6,0.5413211584091187,2.48334002494812,0.771918535232544,5
3,6,0.5331583023071289,2.5806524753570557,0.7656111717224121,5
0,6,0.4530666470527649,2.7253849506378174,0.7794253826141357,6
1,6,0.5103468894958496,2.6010937690734863,0.8608452677726746,6
2,6,0.5189452171325684,2.552929401397705,0.7759912610054016,6
3,5,0.44183146953582764,2.8850290775299072,0.9515571594238281,6
0,4,0.4000288248062134,3.1943840980529785,0.8888213634490967,7
1,5,0.4966624975204468,2.9737038612365723,0.8870007991790771,7
2,3,0.5952709913253784,2.069657325744629,0.6885839700698853,7
3,4,0.5178788900375366,2.8177599906921387,0.9303665161132812,7
0,6,0.42279189825057983,3.1608386039733887,0.753068208694458,8
1,6,0.524560809135437,2.7377076148986816,0.8337060809135437,8
2,6,0.593120813369751,2.1846301555633545,0.7565464973449707,8
3,6,0.45293205976486206,3.08648419380188,0.8394018411636353,8
