batch_size,d_model,dim_feedforward,dropout,learning_rate,nhead,num_layers,weight_decay,trial,elapsed_sec,cv_mean_best_epoch,cv_mean_val_nse,cv_std_val_nse,cv_mean_val_rmse,cv_mean_val_mae
96,128,256,0.1,0.0001,8,4,0.0,3,582.170138835907,6.0,0.5074958503246307,0.09104617255731129,2.6082032322883606,0.7819461077451706
128,160,512,0.05,0.0002,4,2,0.0,7,294.46883726119995,4.0,0.5024603009223938,0.06960132715510446,2.7638763189315796,0.8486931622028351
96,160,128,0.2,0.0002,8,3,0.0001,4,467.347501039505,5.0,0.5022999793291092,0.06972944859054095,2.737273693084717,0.8110817223787308
96,160,256,0.05,0.0002,8,4,0.0005,1,708.5363466739655,5.0,0.501541331410408,0.07871093526437008,2.751193106174469,0.8123865872621536
32,160,128,0.2,0.0002,8,3,0.0,2,518.6670553684235,4.25,0.5000375211238861,0.10152518652340714,2.718378484249115,0.8219175338745117
128,96,128,0.05,0.0002,8,4,0.0,8,518.9542398452759,6.0,0.49835139513015747,0.06603092004828348,2.792415142059326,0.7956806570291519
128,128,512,0.2,0.0001,8,2,0.0,6,327.37623047828674,5.75,0.4810475558042526,0.03396879584890706,2.691109299659729,0.84195476770401
64,128,384,0.05,0.0001,4,2,1e-05,5,274.80648279190063,5.75,0.4810323566198349,0.09032464499020174,2.9479244351387024,0.7945685833692551
