fold_id,best_epoch,best_val_nse,best_val_rmse,best_val_mae,trial
0,6,0.4064079523086548,2.999758005142212,0.9968910217285156,1
1,3,0.329426109790802,3.3894951343536377,1.2336853742599487,1
2,6,0.4290317893028259,2.5821778774261475,0.9567072987556458,1
3,6,0.3577294945716858,3.0122227668762207,0.9459671974182129,1
0,4,0.45969873666763306,2.379053831100464,1.0553680658340454,2
1,6,0.4046136140823364,3.0174272060394287,1.024541974067688,2
2,6,0.480953574180603,2.4824094772338867,0.8716740608215332,2
3,5,0.40017586946487427,3.0107696056365967,1.1756319999694824,2
0,6,0.39716702699661255,2.6437342166900635,0.9635122418403625,3
1,6,0.42129379510879517,2.792591094970703,1.0852192640304565,3
2,6,0.39521217346191406,2.950505256652832,0.9464458227157593,3
3,5,0.369035542011261,2.986449956893921,1.0336620807647705,3
0,5,0.416146457195282,2.5854413509368896,1.0166969299316406,4
1,6,0.4531620740890503,2.817683696746826,1.0588420629501343,4
2,5,0.47961342334747314,2.4491593837738037,0.9599610567092896,4
3,5,0.4299280643463135,2.6232733726501465,1.0452364683151245,4
0,6,0.4710986614227295,2.5580496788024902,1.0163347721099854,5
1,6,0.42295169830322266,2.9195613861083984,1.0602924823760986,5
2,4,0.43890970945358276,2.7602930068969727,0.9742395281791687,5
3,6,0.4136463403701782,2.730181932449341,1.0619604587554932,5
0,5,0.4011741876602173,2.706573009490967,1.0202385187149048,6
1,6,0.3728864789009094,3.315747022628784,1.1476367712020874,6
2,6,0.3565257787704468,2.883735418319702,1.0771491527557373,6
3,5,0.3946937322616577,2.6266634464263916,1.0295329093933105,6
0,4,0.4163452386856079,2.7678678035736084,1.0945069789886475,7
1,6,0.3955686688423157,3.5150558948516846,1.0646113157272339,7
2,6,0.4890285134315491,2.364389181137085,0.939935028553009,7
3,6,0.4254952669143677,2.657660484313965,0.9824890494346619,7
0,6,0.39243364334106445,2.8173155784606934,1.0119860172271729,8
1,6,0.41712677478790283,2.684098482131958,1.0804733037948608,8
2,5,0.4241817593574524,2.7015552520751953,1.0357980728149414,8
3,6,0.42193758487701416,2.638946533203125,1.0610100030899048,8
