epoch,train_loss,train_nse
1,0.4365217089653015,0.5634782910346985
2,0.3394586443901062,0.6605413556098938
3,0.30595988035202026,0.6940401196479797
4,0.2876874804496765,0.7123125195503235
5,0.27398407459259033,0.7260159254074097
