batch_size,d_model,dim_feedforward,dropout,learning_rate,nhead,num_layers,weight_decay,trial,elapsed_sec,cv_mean_best_epoch,cv_mean_val_nse,cv_std_val_nse,cv_mean_val_rmse,cv_mean_val_mae
96,160,128,0.2,0.0002,8,3,0.0001,4,255.86358833312988,5.25,0.4447125047445297,0.02410429469986332,2.6188894510269165,1.0201841294765472
64,128,384,0.05,0.0001,4,2,1e-05,5,254.48761320114136,5.5,0.4366516023874283,0.021843925792440023,2.7420215010643005,1.0282068103551865
32,160,128,0.2,0.0002,8,3,0.0,2,628.3073081970215,5.25,0.4363604485988617,0.0348224346077832,2.722415030002594,1.0318040251731873
128,160,512,0.05,0.0002,4,2,0.0,7,173.8997447490692,5.5,0.4316094219684601,0.03487931383235719,2.8262433409690857,1.020385593175888
128,96,128,0.05,0.0002,8,4,0.0,8,162.26856231689453,5.75,0.41391994059085846,0.012664243950702142,2.710478961467743,1.04731684923172
96,128,256,0.1,0.0001,8,4,0.0,3,225.5363802909851,5.75,0.3956771343946457,0.018496105802983456,2.84332013130188,1.0072098523378372
128,128,512,0.2,0.0001,8,2,0.0,6,182.1888656616211,5.5,0.3813200443983078,0.01774065364321857,2.883179724216461,1.06863933801651
96,160,256,0.05,0.0002,8,4,0.0005,1,241.19626903533936,5.25,0.3806488364934921,0.03922214341133187,2.9959134459495544,1.0333127230405807
